mappedGenes,riskAllele,traitName,pValue,orValue,ChemicalName,Interaction,InteractionActions
POLR3B,rs11610873-C,Alzheimer's disease or related dementias (adjusted for APOE E4 dosage),3e-7,0.75,methylmercuric chloride,methylmercuric chloride results in decreased expression of POLR3B mRNA,decreases^expression
PPIL2,rs1669114-?,Alzheimer's disease in APOE e4+ carriers,6e-6,0.4237,mercuric bromide,mercuric bromide results in decreased expression of PPIL2 mRNA,decreases^expression
PPIL2,rs1669114-?,Alzheimer's disease in APOE e4+ carriers,6e-6,0.4237,methylmercuric chloride,methylmercuric chloride results in decreased expression of PPIL2 mRNA,decreases^expression
PPM1L,rs141026035-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",7e-6,1.8135749,methylmercuric chloride,methylmercuric chloride results in decreased expression of PPM1L mRNA,decreases^expression
PPP1R3B,rs3748140-?,Alzheimer's disease,3e-7,2.43,methylmercuric chloride,methylmercuric chloride results in decreased expression of PPP1R3B mRNA,decreases^expression
PREX2,rs28524839-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",6e-6,1.7899721,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of PREX2 mRNA",affects^cotreatment|decreases^expression
PREX2,rs28524839-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",6e-6,1.7899721,methylmercuric chloride,methylmercuric chloride results in decreased expression of PREX2 mRNA,decreases^expression
PRICKLE1,rs896559-C,Alzheimer's disease,8e-10,2.44,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of PRICKLE1 mRNA",affects^cotreatment|increases^expression
PRICKLE2,rs143785410-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",5e-6,1.4172239,Lead,Lead affects the expression of PRICKLE2 mRNA,affects^expression
PRICKLE2,rs143785410-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",5e-6,1.4172239,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of PRICKLE2 mRNA",affects^cotreatment|increases^expression
PRIM2,rs6904307-?,Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile),6e-21,1.24,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of PRIM2 mRNA",affects^cotreatment|decreases^expression
PRKAG2,rs79439364-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",2e-6,1.7235739,Lead,Lead affects the expression of PRKAG2 mRNA,affects^expression
PRKAG2,rs79439364-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",2e-6,1.7235739,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of PRKAG2 mRNA",affects^cotreatment|increases^expression
PRKAG2,rs79439364-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",2e-6,1.7235739,methylmercuric chloride,methylmercuric chloride results in increased expression of PRKAG2 mRNA,increases^expression
PRKCH,rs139149613-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",7e-6,0.6143442,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of PRKCH mRNA",affects^cotreatment|increases^expression
PRKCH,rs139149613-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",7e-6,0.6143442,mercuric bromide,mercuric bromide results in increased expression of PRKCH mRNA,increases^expression
PRKG1,rs150783484-?,Alzheimer's disease in non-APOE e4 carriers,2e-6,3.494,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of PRKG1 mRNA",affects^cotreatment|decreases^expression
PRKG1,rs150783484-?,Alzheimer's disease in non-APOE e4 carriers,2e-6,3.494,methylmercuric chloride,methylmercuric chloride results in decreased expression of PRKG1 mRNA,decreases^expression
PRKN,rs139539873-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",3e-6,0.5404247,Lead,[[amyloid beta-protein (25-35) co-treated with amyloid beta-protein (1-40)] co-treated with [lead acetate results in increased abundance of Lead]] results in decreased expression of PRKN protein,affects^cotreatment|decreases^expression|increases^abundance
PRKN,rs139539873-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",3e-6,0.5404247,lead acetate,[[amyloid beta-protein (25-35) co-treated with amyloid beta-protein (1-40)] co-treated with [lead acetate results in increased abundance of Lead]] results in decreased expression of PRKN protein,affects^cotreatment|decreases^expression|increases^abundance
PRRX1,rs59597570-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",7e-6,1.108824,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of PRRX1 mRNA",affects^cotreatment|decreases^expression
PRRX1,rs59597570-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",7e-6,1.108824,methylmercuric chloride,methylmercuric chloride results in decreased expression of PRRX1 mRNA,decreases^expression
PTGDR,rs566835324-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",2e-6,0.54694885,methylmercuric chloride,methylmercuric chloride results in decreased expression of PTGDR mRNA,decreases^expression
PTK2B,rs73223431-T,Alzheimer's disease,4e-22,1.07,Lead,Lead results in decreased expression of PTK2B mRNA,decreases^expression
PTN,rs73452975-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",9e-6,1.6549983,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of PTN mRNA",affects^cotreatment|decreases^expression
PTN,rs73452975-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",9e-6,1.6549983,methylmercuric chloride,methylmercuric chloride results in increased expression of PTN mRNA,increases^expression
PTPRM,rs113300914-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",4e-6,1.2602372,Lead,Lead affects the expression of PTPRM mRNA,affects^expression
PTPRM,rs113300914-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",4e-6,1.2602372,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of PTPRM mRNA",affects^cotreatment|increases^expression
PTPRS,rs10405017-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",2e-6,1.1474017,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of PTPRS mRNA",affects^cotreatment|decreases^expression
PUF60,rs11782759-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",3e-6,0.8032414,Lead,Lead affects the splicing of PUF60 mRNA,affects^splicing
PURPL,rs72746279-?,Rapidly progressive Alzheimer's disease (clinical) (case-control set 1),4e-6,2.234,methylmercuric chloride,methylmercuric chloride results in decreased expression of PURPL mRNA,decreases^expression
PWWP2A,rs562024322-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",4e-6,0.6228809,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of PWWP2A mRNA",affects^cotreatment|decreases^expression
QKI,rs6924130-?,Rapidly progressive Alzheimer's disease (clinical) (case-control set 3),4e-6,2.031,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of QKI mRNA",affects^cotreatment|increases^expression
RAB23,rs6904307-?,Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile),6e-21,1.24,methylmercuric chloride,methylmercuric chloride results in decreased expression of RAB23 mRNA,decreases^expression
RAB31,rs6506688-?,Rapidly progressive Alzheimer's disease (pathologically-confirmed vs clinical) (case-control set 1),1e-5,0.3217,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of RAB31 mRNA",affects^cotreatment|increases^expression
RAB31,rs6506688-?,Rapidly progressive Alzheimer's disease (pathologically-confirmed vs clinical) (case-control set 1),1e-5,0.3217,methylmercuric chloride,methylmercuric chloride results in increased expression of RAB31 mRNA,increases^expression
RAMP1,rs56396048-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",7e-6,1.1960207,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of RAMP1 mRNA",affects^cotreatment|increases^expression
RAPGEF6,rs6890695-G,Alzheimer's disease in APOE e4- carriers,6e-7,1.1494253,Lead,Lead affects the expression of RAPGEF6 mRNA,affects^expression
RASEF,rs7035907-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",5e-6,1.172807,Lead,Lead results in increased expression of RASEF mRNA,increases^expression
RASEF,rs7035907-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",5e-6,1.172807,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of RASEF mRNA",affects^cotreatment|increases^expression
RASEF,rs7035907-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",5e-6,1.172807,mercuric bromide,"[NOG protein co-treated with mercuric bromide co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of RASEF mRNA",affects^cotreatment|increases^expression
RASEF,rs7035907-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",5e-6,1.172807,methylmercuric chloride,methylmercuric chloride results in increased expression of RASEF mRNA,increases^expression
RASGEF1C,rs113706587-A,Alzheimer's disease,2e-16,1.09,Lead,Lead affects the expression of RASGEF1C mRNA,affects^expression
RASGEF1C,rs113706587-A,Alzheimer's disease,2e-16,1.09,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of RASGEF1C mRNA",affects^cotreatment|decreases^expression
RASSF10,rs143902215-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",3e-6,1.8430098,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of RASSF10 mRNA",affects^cotreatment|decreases^expression
RASSF10,rs143902215-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",3e-6,1.8430098,methylmercuric chloride,methylmercuric chloride results in decreased expression of RASSF10 mRNA,decreases^expression
RBFOX1,rs79537509-?,Alzheimer's disease,5e-7,4.61,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of RBFOX1 mRNA",affects^cotreatment|increases^expression
RBFOX3,rs4789973-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",5e-6,1.2934331,Lead,Lead affects the expression of RBFOX3 mRNA,affects^expression
RBFOX3,rs4789973-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",5e-6,1.2934331,Mercury,"[diethyl phosphate co-treated with Cotinine co-treated with bis(2,3,3,3-tetrachloropropyl) ether co-treated with Mercury co-treated with Selenium] results in increased expression of RBFOX3 mRNA",affects^cotreatment|increases^expression
RBFOX3,rs4789973-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",5e-6,1.2934331,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of RBFOX3 mRNA",affects^cotreatment|decreases^expression
RBFOX3,rs4789973-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",5e-6,1.2934331,mercuric bromide,mercuric bromide results in decreased expression of RBFOX3 mRNA,decreases^expression
RBFOX3,rs4789973-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",5e-6,1.2934331,methylmercuric chloride,methylmercuric chloride results in decreased expression of RBFOX3 mRNA,decreases^expression
RBMS3,rs2221154-?,Alzheimer's disease,3e-6,1.75,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of RBMS3 mRNA",affects^cotreatment|increases^expression
RBMS3,rs2221154-?,Alzheimer's disease,3e-6,1.75,mercuric bromide,mercuric bromide results in increased expression of RBMS3 mRNA,increases^expression
REN,rs6699047-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",5e-6,0.8402129,methylmercuric chloride,methylmercuric chloride results in decreased expression of REN mRNA,decreases^expression
RFX4,rs11610873-C,Alzheimer's disease or related dementias (adjusted for APOE E4 dosage),3e-7,0.75,mercuric bromide,mercuric bromide results in decreased expression of RFX4 mRNA,decreases^expression
RFX4,rs11610873-C,Alzheimer's disease or related dementias (adjusted for APOE E4 dosage),3e-7,0.75,methylmercuric chloride,methylmercuric chloride results in decreased expression of RFX4 mRNA,decreases^expression
RGS17,rs77248137-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",5e-6,1.39822,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of RGS17 mRNA",affects^cotreatment|decreases^expression
